	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr12_814442	6022492686.19671	7	557.821931179258	0	FKS1	chr12_813899	chr12_814697	chr12	813899	814697	FKS1	FKS1	FKS1
chr09_390521	393764416.987747	7	36.4716802425031	1.11452449596096e-50	MUC1	chr09_389318	chr09_393711	chr09	389318	393711	MUC1	MUC1	MUC1
chr02_567297	327165311.631195	7	30.3030647703831	9.87626786200956e-42	EXO5	chr02_561120	chr02_568304	chr02	561120	568304	CDC28;CSH1;TOS1;YSY6;EXO5;ARL1;UBS1	CDC28;CSH1;TOS1;YSY6;EXO5;ARL1;UBS1	CSH1
chr15_425449	283183811.492369	7	26.2293619662549	8.00329733287599e-36	ETT1	chr15_421135	chr15_427278	chr15	421135	427278	RAT1;RSB1;ETT1;YOR052C	RAT1;RSB1;ETT1;YOR052C	RAT1;RSB1;ETT1;YOR052C
chr07_490869	239217934.403532	7	22.1571062174193	6.34699327903878e-30	RPN14	chr07_482604	chr07_515531	chr07	482604	515531	PMA1;YGL007C-A;YGL006W-A;PMC1;COG7;RPN14;CDH1;ERP6;ERG26;YGR001C;SWC4;CUL3;PEX31;TFG2;PRP18;ECT1;STF2;SEC9;NMA2;YGR012W;SNU71	PMC1;COG7;RPN14;CDH1;ERP6;ERG26;YGR001C;SWC4;CUL3;PEX31;TFG2;PRP18;ECT1;STF2;SEC9;NMA2;YGR012W;SNU71	PMC1
chr04_526135	183623227.261497	7	17.0077522012006	1.71804615334068e-22	KRS1	chr04_526024	chr04_526297	chr04	526024	526297	KRS1	KRS1	KRS1
chr05_75180	149503604.544851	7	13.847487037487	5.83525817372312e-18	GDA1	chr05_70717	chr05_115463	chr05	70717	115463	IES6;YEL043W;GDA1;YEF1;UTR2;CYC7;UTR4;RAD23;ANP1;UTR5;HYP2;MTC7;MCM3;SPF1;ECM10;BUD16;VMA3;SNU13;YEL025C;RIP1;YEL023C;GEA2;URA3	IES6;YEL043W;GDA1;YEF1;UTR2;CYC7;UTR4;RAD23;ANP1;UTR5;HYP2;MTC7;MCM3;SPF1;ECM10;BUD16	MTC7;MCM3;SPF1;ECM10;BUD16
chr04_1153847	147910098.361732	7	13.6998915578859	9.47960997240001e-18	NA	chr04_1150826	chr04_1168078	chr04	1150826	1168078	FCF1;YDR341C;HXT7;HXT6;HXT3;SVF1	FCF1;YDR341C;HXT7;HXT6;HXT3;SVF1	FCF1;YDR341C;HXT7;HXT6;HXT3;SVF1
chr07_18287	141813871.397522	7	13.1352401294371	6.05436275026514e-17	NA	chr07_12339	chr07_20078	chr07	12339	20078	MNT2;ADH4;ZRT1	MNT2;ADH4	MNT2;ADH4
chr02_405613	129858154.537081	7	12.0278645932229	2.27342094293363e-15	NA	chr02_395656	chr02_423518	chr02	395656	423518	RPG1;SEC18;SPT7;UBC4;TEC1;MIS1;RPL19A;AAC3;YBR085C-A;IST2;RFC5	RPG1;SEC18;SPT7;UBC4;TEC1;MIS1;RPL19A;AAC3;YBR085C-A;IST2;RFC5	TEC1;MIS1;RPL19A;AAC3;YBR085C-A;IST2;RFC5
chr15_31684	128006977.89616	7	11.8564028775185	3.97984527693926e-15	NA	chr15_29005	chr15_32372	chr15	29005	32372	HPF1	HPF1	HPF1
chr14_735619	119644477.299021	7	11.081842163933	4.9667373099125e-14	BIO3	chr14_694355	chr14_741746	chr14	694355	741746	ARC35;MRPS12;RSM19;DBP6;ZRG17;YNR040W;COQ2;MVD1;AGA1;PET494;TRM112;FPK1;YNR048W;MSO1;LYS9;BRE5;POP2;NOG2;ESF2;HOL1;BIO5;BIO4;BIO3;MNT4;FRE4	HOL1;BIO5;BIO4;BIO3;MNT4;FRE4	HOL1;BIO5;BIO4;BIO3;MNT4;FRE4
chr07_885763	117358476.401382	7	10.8701056784208	9.88566370225613e-14	NA	chr07_880052	chr07_888853	chr07	880052	888853	HIP1;TDH3;PDX1;XKS1;SKI6	HIP1;TDH3;PDX1;XKS1;SKI6	HIP1;TDH3;PDX1;XKS1;SKI6
chr08_115917	113438032.946541	7	10.5069820595128	3.21274345014752e-13	NA	chr08_65967	chr08_123123	chr08	65967	123123	AIM17;OPI1;APM2;YHL018W;YHL017W;DUR3;YHL015W-A;RPS20;YLF2;OTU2;YHL012W;PRS3;ETP1;YAP3;YHL008C;STE20;SHU1;MRP4;LAG1;HSE1;RPL14B;OSH7;QCR10;LEU5;YHR003C;NEM1;GPA1;TIM10;STP2;ERG11;YHR007C-A;SOD2	AIM17;OPI1;APM2;YHL018W;YHL017W;DUR3;YHL015W-A;RPS20;YLF2;OTU2;YHL012W;PRS3;ETP1;YAP3;YHL008C;STE20;SHU1;MRP4;LAG1;HSE1;RPL14B;OSH7;QCR10;LEU5;YHR003C;NEM1;GPA1;TIM10;STP2;ERG11;YHR007C-A;SOD2	YLF2;OTU2;YHL012W;PRS3;ETP1;YAP3
chr11_396367	103469244.714128	7	9.58364200862879	6.35920657699298e-12	CDC16	chr11_389172	chr11_400555	chr11	389172	400555	YKL027W;GPX1;PAN3;URA6;YKL023C-A;YKL023W;CDC16;MAK11;SPT23	YKL027W;GPX1;PAN3;URA6;YKL023C-A;YKL023W;CDC16;MAK11;SPT23	YKL027W;GPX1;PAN3;URA6;YKL023C-A;YKL023W;CDC16;MAK11
chr08_236922	101421170.863316	7	9.39394306332718	1.17159034243475e-11	NA	chr08_228696	chr08_328054	chr08	228696	328054	RRP3;SSF1;HTD2;DYS1;RRP4;TRM5;PCL5;ERG7;NOP10;OSH3;QNS1;PPE1;PTC7;NMD2;YHR078W;IRE1;SAE3;YHR080C;LRP1;KSP1;SAM35;STE12;IPI1;NAM8;YHR086W-A;RTC3;RPF1;GAR1;YNG2;MSR1;HXT4;HXT1;HXT5;YHR097C;SFB3;TRA1;GEP4;BIG1;KIC1;SBE22;GRE3;YPT35;TRR2;CDC12;GGA2	TRM5;PCL5;ERG7;NOP10;OSH3;QNS1;PPE1;PTC7;NMD2;YHR078W;IRE1;SAE3;YHR080C;LRP1;KSP1;SAM35;STE12;IPI1;NAM8;YHR086W-A;RTC3;RPF1;GAR1;YNG2;MSR1;HXT4;HXT1;HXT5;YHR097C;SFB3;TRA1;GEP4;BIG1;KIC1;SBE22;GRE3;YPT35;TRR2;CDC12;GGA2	HXT5;YHR097C;SFB3
chr16_495533	101193917.621372	7	9.37289416399383	1.25371455507511e-11	SUV3	chr16_486475	chr16_497425	chr16	486475	497425	YPL034W;SRL4;SVL3;PHO85;TRM44;SUV3;ERG10	YPL034W;SRL4;SVL3;PHO85;TRM44;SUV3;ERG10	SVL3;PHO85;TRM44
chr07_226078	99651195.8375683	7	9.23000249279493	1.98524537875204e-11	NA	chr07_199183	chr07_228264	chr07	199183	228264	SUT1;YIP5;AIM14;YGL159W;RCK1;ARI1;AMS1;CDC43;LYS5;PEX14;NUT1;INO80;ARO2;RPL9A;RRT6	SUT1;YIP5;AIM14;YGL159W;RCK1;ARI1;AMS1;CDC43;LYS5;PEX14;NUT1;INO80;ARO2;RPL9A	RCK1;ARI1;AMS1;CDC43;LYS5;PEX14
