	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr08_84332	554116992.358888	7	94.3279271387454	1.92387075754418e-133	YAP3	chr08_83533	chr08_95009	chr08	83533	95009	ETP1;YAP3;YHL008C;STE20	ETP1;YAP3	ETP1;YAP3
chr07_482241	393885485.776695	7	67.0515467233488	9.45793585220969e-95	PMA1	chr07_480444	chr07_484862	chr07	480444	484862	PMA1;YGL007C-A;YGL006W-A	PMA1;YGL007C-A;YGL006W-A	PMA1;YGL007C-A
chr09_393660	199566171.139787	7	33.972362353472	4.6996383556354e-47	MUC1	chr09_390284	chr09_394437	chr09	390284	394437	MUC1;YIR020C	MUC1;YIR020C	MUC1
chr07_581464	151748692.315499	7	25.8323418872262	3.01396907481813e-35	NA	chr07_578716	chr07_604670	chr07	578716	604670	BUD9;YGR042W;NQM1;RME1;TAM41;TFC4;UFD1;SCM4;YGR050C;FMP48;YGR053C;YGR054W;MUP1;RSC1;LST7	YGR042W;NQM1;RME1;TAM41;TFC4;UFD1;SCM4;YGR050C;FMP48	TFC4;UFD1
chr15_71381	97553047.8643064	7	16.60655947751	6.48710912901685e-22	GAS4	chr15_68320	chr15_78910	chr15	68320	78910	PFK27;MED7;HRT1;GAS4;YOL131W;ALR1;VPS68;YGK3	PFK27;MED7;HRT1;GAS4;YOL131W;ALR1;VPS68;YGK3	PFK27;MED7;HRT1;GAS4;YOL131W;ALR1;VPS68;YGK3
chr15_418290	96904117.1605253	7	16.4960913110606	9.35031095162897e-22	NA	chr15_410473	chr15_421090	chr15	410473	421090	WHI2;IRC23;TOM6;DBP5;STD1;RAT1	WHI2	WHI2
chr14_689280	95290095.6457005	7	16.221334705596	2.32052572189468e-21	ABZ1	chr14_688466	chr14_690208	chr14	688466	690208	ABZ1;SOL1	ABZ1;SOL1	ABZ1;SOL1
chr15_31814	94494395.3708153	7	16.0858817983785	3.6318004161683e-21	NA	chr15_31621	chr15_31834	chr15	31621	31834	HPF1	HPF1	HPF1
chr07_409362	84707240.4494238	7	14.4198039681525	8.87470156999153e-19	TIF4632	chr07_406670	chr07_411293	chr07	406670	411293	TYW3;TIF4632;RPT6;ALG13	TYW3;TIF4632;RPT6;ALG13	TYW3;TIF4632;RPT6;ALG13
chr06_165561	69445350.3544817	7	11.8217561249584	4.45696284257223e-15	UBP6	chr06_161841	chr06_170148	chr06	161841	170148	GCN20;UBP6;AIM13;YFR012W;YFR012W-A;IOC3	GCN20;UBP6;AIM13;YFR012W	GCN20
