	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr15_411421	5162067903.55993	7	400.246204914328	0	WHI2	chr15_411229	chr15_412003	chr15	411229	412003	WHI2	WHI2	WHI2
chr04_18882	1005101095.26522	7	77.9315395401345	3.16954995705165e-110	NA	0	chr04_19736	chr04	0	19736	COS7;MPH2;SOR2;HXT15;THI13;AAD4;YDL241W	COS7;MPH2;SOR2;HXT15;THI13;AAD4;YDL241W	COS7;MPH2;SOR2;HXT15;THI13;AAD4;YDL241W
chr07_587175	854258588.78406	7	66.2358118033462	1.47491639819033e-93	TFC4	chr07_586716	chr07_589253	chr07	586716	589253	TFC4;UFD1	TFC4;UFD1	TFC4;UFD1
chr15_31684	770055044.583612	7	59.7070040394416	3.33090514602013e-84	NA	chr15_30686	chr15_31776	chr15	30686	31776	HPF1	HPF1	HPF1
chr09_132405	723176629.330648	6	65.4176112964664	6.71032510924151e-80	QDR2	chr09_129482	chr09_139395	chr09	129482	139395	SIM1;POG1;QDR2;QDR1;RPI1;RHO3	SIM1;POG1;QDR2;QDR1	SIM1
chr09_393283	488021177.506659	7	37.839220224158	1.18536775970307e-52	MUC1	chr09_389872	chr09_394152	chr09	389872	394152	MUC1;YIR020C	MUC1	MUC1
chr12_751968	417245784.831549	7	32.3515778977177	1.07009653102413e-44	NA	chr12_749934	chr12_755500	chr12	749934	755500	IMH1;CDC25	IMH1;CDC25	IMH1;CDC25
chr02_551644	390287421.146715	7	30.2613336473247	1.15083147816767e-41	SLI15	chr02_550865	chr02_561508	chr02	550865	561508	CNS1;SLI15;ICS2;AMN1;IFA38;CDC28;CSH1	CNS1;SLI15;ICS2;AMN1;IFA38;CDC28;CSH1	CSH1
chr08_302028	276049871.716782	7	21.4038086259061	7.85631575439751e-29	NA	chr08_267527	chr08_325586	chr08	267527	325586	YHR080C;LRP1;KSP1;SAM35;STE12;IPI1;NAM8;YHR086W-A;RTC3;RPF1;GAR1;YNG2;MSR1;HXT4;HXT1;HXT5;YHR097C;SFB3;TRA1;GEP4;BIG1;KIC1;SBE22;GRE3;YPT35;TRR2	YHR080C;LRP1;KSP1;SAM35;STE12;IPI1;NAM8;YHR086W-A;RTC3;RPF1;GAR1;YNG2;MSR1;HXT4;HXT1;HXT5;YHR097C;SFB3;TRA1;GRE3;YPT35;TRR2	HXT5;YHR097C;SFB3
chr07_337147	255120650.880175	7	19.7810401214684	1.73755075358953e-26	SPC105	chr07_326581	chr07_350350	chr07	326581	350350	TOS8;VPS45;PAN2;SPC105;NUP145;NBP35;LIF1;MF(ALPHA)2;MMS2;MAD1;LCL3;GUP1	MAD1;LCL3;GUP1	LCL3;GUP1
chr08_74587	251707378.550886	7	19.5163885667698	4.18765981447846e-26	NA	chr08_72973	chr08_122181	chr08	72973	122181	DUR3;YHL015W-A;RPS20;YLF2;OTU2;YHL012W;PRS3;ETP1;YAP3;YHL008C;STE20;SHU1;MRP4;LAG1;HSE1;RPL14B;OSH7;QCR10;LEU5;YHR003C;NEM1;GPA1;TIM10;STP2;ERG11;YHR007C-A	DUR3;YHL015W-A;RPS20;YLF2;OTU2;YHL012W;PRS3	YLF2;OTU2;YHL012W;PRS3
chr13_552336	248229685.470089	7	19.2467420833351	1.02588575139033e-25	RPS16A	chr13_542201	chr13_553041	chr13	542201	553041	GAT2;PSO2;CIN4;RIM11;SIP5;RPL13B;RPS16A;YMR144W	GAT2;PSO2;CIN4;RIM11;SIP5;RPL13B;RPS16A;YMR144W	GAT2;PSO2;CIN4;RIM11;SIP5;RPL13B;RPS16A;YMR144W
chr12_984873	248024734.611639	7	19.2308510092886	1.0815028327677e-25	TUS1	chr12_905181	chr12_986803	chr12	905181	986803	ART10;ATP10;CST9;COX8;VPS33;AFG2;SKI2;BDF1;DUS3;SFP1;FLD1;DUS4;RPL31B;YLR406C-A;YLR407W;BLS1;UTP21;VIP1;CTR3;BER1;YLR412C-A;YLR413W;PUN1;YLR415C;VPS36;CDC73;YLR419W;URA4;RPN13;YLR422W;ATG17;SPP382;TUS1;TDA5	ART10;ATP10;CST9;COX8;VPS33;AFG2;SKI2;BDF1;DUS3;SFP1;FLD1;DUS4;RPL31B;YLR406C-A;YLR407W;BLS1;UTP21;VIP1;CTR3;BER1;YLR412C-A;YLR413W;PUN1;YLR415C;VPS36;CDC73;YLR419W;URA4;RPN13;YLR422W;ATG17;SPP382;TUS1;TDA5	ART10;ATP10;CST9;COX8;VPS33;AFG2;SKI2;BDF1;DUS3;SFP1;FLD1;DUS4;RPL31B;YLR406C-A;YLR407W;BLS1;UTP21;VIP1;CDC73;YLR419W;URA4;RPN13;YLR422W;ATG17;SPP382;TUS1;TDA5
chr14_296824	230727070.392868	7	17.8896589547109	9.27932150288257e-24	IPI3	chr14_283884	chr14_301927	chr14	283884	301927	SRP1;KAR1;SWT21;UBP10;MRPL19;YNL184C;NPR1;IPI3;YNL181W;RHO5;RPS3	SRP1;KAR1;SWT21;UBP10;MRPL19;YNL184C;NPR1;IPI3;YNL181W;RHO5;RPS3	RPS3
chr04_527032	221391995.492146	7	17.1658543920029	1.0219360924129e-22	KRS1	chr04_507182	chr04_547019	chr04	507182	547019	MRH1;LYS14;YDR034C-A;YDR034W-B;ARO3;EHD3;KRS1;ENA5;ENA2;ENA1;RSM10;YDR042C;NRG1;HEM13	MRH1;LYS14;YDR034C-A;YDR034W-B;ARO3;EHD3;KRS1;ENA5;ENA2;ENA1;RSM10;YDR042C;NRG1;HEM13	KRS1
chr15_1005341	216336566.210909	7	16.7738765215389	3.74242826254067e-22	GDS1	chr15_989241	chr15_1037835	chr15	989241	1037835	PUT4;CIN1;MNE1;MEK1;YOR352W;SOG2;MSC6;GDS1;CIR2;SNX3;HAP5;VTS1;PDE2;PRT1;PRE10;PIP2;YOR365C;SCP1;RAD17;RPS12;MRS6;GPB1;NDD1;NUD1	PUT4;CIN1;MNE1;MEK1;YOR352W;SOG2;MSC6;GDS1;CIR2;SNX3;HAP5;VTS1;PDE2;PRT1;PRE10;PIP2;YOR365C;SCP1;RAD17;RPS12;MRS6;GPB1;NDD1;NUD1	PUT4;CIN1;MNE1
chr15_588604	185335964.646688	7	14.3702132304025	1.04779770232912e-18	SFL1	chr15_584080	chr15_590341	chr15	584080	590341	SIA1;RUP1;SFL1;ARP8	RUP1;SFL1;ARP8	SFL1
chr07_1062452	165252525.920506	7	12.8130233053648	1.74548539455894e-16	ZUO1	chr07_1060653	0	chr07	1060653	1e+07	YGR283C;ERV29;ZUO1;BIO2;IMA1;MAL13;MAL11;MAL12;PAU12;COS6;YRF1-3	YGR283C;ERV29;ZUO1;BIO2;IMA1;MAL13;MAL11;MAL12;PAU12;COS6;YRF1-3	YGR283C;ERV29;ZUO1;BIO2;IMA1
chr14_17744	157407411.733551	7	12.2047443677161	1.27799965522581e-15	NA	chr14_11930	chr14_18558	chr14	11930	18558	DDI3;SNO2;SNZ2;THI12;AAD14;RPD3	DDI3;SNO2;SNZ2;THI12;AAD14;RPD3	DDI3;SNO2;SNZ2;THI12;AAD14;RPD3
chr01_39712	155538027.57419	7	12.0597997584452	2.05234316337117e-15	GPB2	chr01_39176	chr01_43784	chr01	39176	43784	CNE1;GPB2;PEX22;ACS1	CNE1	CNE1
chr11_578254	154709236.221687	7	11.9955385748067	2.5317209315245e-15	NA	chr11_560658	chr11_587875	chr11	560658	587875	TFA2;LAS1;OAF3;PAM17;CCP1;GPT2;BET3;MET1;YKR070W;DRE2;SIS2;AIM29;YKR075C;ECM4;MSA2;YKR078W;TRZ1	SIS2;AIM29;YKR075C;ECM4;MSA2;YKR078W;TRZ1	YKR075C;ECM4;MSA2;YKR078W;TRZ1
chr09_25977	153187208.698715	7	11.8775266169584	3.72195993035775e-15	YIL169C	chr09_25312	chr09_26103	chr09	25312	26103	YIL169C	YIL169C	YIL169C
chr07_139608	152313500.86924	7	11.8097827884221	4.64303940809548e-15	NA	chr07_123640	chr07_143745	chr07	123640	143745	EMP24;YIP4;MDS3;DSD1;GCN1;YGL194C-A;HOS2;YGL193C;IME4	EMP24;YIP4;MDS3;DSD1;GCN1;YGL194C-A;HOS2;YGL193C;IME4	GCN1;YGL194C-A;HOS2;YGL193C;IME4
chr16_606629	149569329.74177	7	11.5970106784993	9.29460055176431e-15	YPR022C	chr16_587577	chr16_631377	chr16	587577	631377	YPR015C;TIF6;DSS4;RLF2;MCM4;ATP20;AGC1;YPR022C;EAF3;YME1;CCL1;ATH1;YPR027C;YOP1;APL4;CSR2;NTO1	YPR015C;TIF6;DSS4;RLF2;MCM4;ATP20;AGC1;YPR022C;EAF3;YME1;CCL1;ATH1;YPR027C;YOP1;APL4;CSR2;NTO1	YPR015C;TIF6;DSS4;RLF2;MCM4;ATP20;AGC1;YPR022C
chr04_965970	139661958.604013	7	10.8288325427894	1.1322461864242e-13	CHL4	chr04_957247	chr04_1020625	chr04	957247	1020625	VHS1;YDR248C;YDR249C;PAM1;BTT1;MET32;CHL4;RMD5;CTA1;RKM4;HSP78;YAP6;SWM1;EXG2;YDR262W;DIN7;AKR1;PEX10;YDR266C;CIA1;MSW1;CCC2;GLO2;DON1;BSC2;PMP3;MTH1;RNH202;RRP45	VHS1;YDR248C;YDR249C;PAM1;BTT1;MET32;CHL4;RMD5;CTA1;RKM4;HSP78;YAP6;SWM1;EXG2;YDR262W;DIN7;AKR1	SWM1;EXG2;YDR262W;DIN7;AKR1
chr11_144393	139516904.814211	7	10.81758564911	1.17437037615127e-13	NA	chr11_132869	chr11_158889	chr11	132869	158889	KKQ8;MRP49;TPK3;MCD4;PIR1;PIR3;YKL162C;KDX1;ELF1;RCN1;APE2;RPS27A	KKQ8;MRP49;TPK3;MCD4;PIR1;PIR3	PIR3
chr15_171288	127946075.000835	7	9.92042954674275	2.14771251887412e-12	IRA2	chr15_165734	chr15_185230	chr15	165734	185230	PHM7;ATG34;ATG19;IRA2;REX4;AVO1;ATP19	PHM7;ATG34;ATG19;IRA2;REX4;AVO1;ATP19	PHM7;ATG34;ATG19;IRA2;REX4;AVO1;ATP19
chr16_106963	120047152.616585	7	9.30797853558328	1.54674893762133e-11	NA	chr16_104500	chr16_121464	chr16	104500	121464	RVB2;VMA11;NSL1;SSO1;FAS2;USV1;YPL229W;CET1;ALG5;NEW1	RVB2;VMA11;NSL1;SSO1	RVB2;VMA11;NSL1
chr14_697985	118129217.878296	7	9.15926950760941	2.4948059553091e-11	ZRG17	chr14_677438	chr14_701158	chr14	677438	701158	CPR8;YNR029C;ALG12;SSK2;PPG1;HUB1;ABZ1;SOL1;YNR034W-A;ARC35;MRPS12;RSM19;DBP6;ZRG17;YNR040W;COQ2;MVD1	ARC35;MRPS12;RSM19;DBP6;ZRG17;YNR040W;COQ2	ARC35;MRPS12;RSM19;DBP6;ZRG17;YNR040W;COQ2
chr13_296978	115347558.949087	7	8.94359074270707	4.98562157189434e-11	NA	chr13_288573	chr13_310672	chr13	288573	310672	HXT2;CLU1;SEC59;BUD22;ERG5;SOK2;SPO20;YMR018W	HXT2;CLU1;SEC59;BUD22;ERG5;SOK2;SPO20;YMR018W	SPO20
