	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr15_621321	1733159544.38856	7	124.943350407282	4.77944864505491e-176	PDR5	chr15_620136	chr15_622683	chr15	620136	622683	PDR5	PDR5	PDR5
chr15_235959	928877487.506565	7	66.9627131458991	1.29687971446686e-94	GAL11	chr15_234982	chr15_236386	chr15	234982	236386	GAL11	GAL11	GAL11
chr15_410887	846182520.79472	7	61.0012387760126	4.4853947681342e-86	WHI2	chr15_405689	chr15_414103	chr15	405689	414103	HIR2;CKB2;GLO4;CUE5;WHI2;IRC23;TOM6;DBP5	HIR2;CKB2;GLO4;CUE5;WHI2;IRC23;TOM6	WHI2
chr13_580111	724241839.825695	7	52.2105436085978	1.96431814235194e-73	DNF3	chr13_577138	chr13_588348	chr13	577138	588348	YMR160W;HLJ1;DNF3;INP2;MSS11	YMR160W;HLJ1;DNF3;INP2;MSS11	YMR160W
chr14_216824	714070274.646702	7	51.4772761858356	2.23979064165735e-72	PDR16	chr14_215579	chr14_218090	chr14	215579	218090	CSL4;PDR16;ELA1	CSL4;PDR16;ELA1	CSL4;PDR16;ELA1
chr07_473141	486872327.430004	7	35.098592052099	1.10015133605496e-48	ERG4	chr07_469671	chr07_476178	chr07	469671	476178	PDR1;ERG4;SCL1;YGL010W;LEU1	PDR1;ERG4	ERG4
chr08_122192	463920608.265911	7	33.4440042218826	2.7604682421061e-46	NA	chr08_121207	chr08_125633	chr08	121207	125633	ERG11;YHR007C-A;SOD2;TDA3;RPL27A	ERG11;YHR007C-A;SOD2;TDA3;RPL27A	ERG11;YHR007C-A;SOD2
chr09_393262	362034111.474857	7	26.0990137900721	1.24186172378853e-35	MUC1	chr09_384884	chr09_394152	chr09	384884	394152	MET28;YAP5;YIR018C-A;MUC1;YIR020C	MUC1;YIR020C	MUC1
chr06_158256	347908586.945404	7	25.0807057141166	3.71572944980857e-34	NA	chr06_155566	chr06_163957	chr06	155566	163957	SAD1;YFR006W;YFH7;FAR7;GCN20	SAD1;YFR006W;YFH7;FAR7;GCN20	GCN20
chr07_587205	296179476.813267	7	21.3515577805508	9.31286627778152e-29	TFC4	chr07_585830	chr07_594546	chr07	585830	594546	TAM41;TFC4;UFD1;SCM4;YGR050C;FMP48;YGR053C	TFC4;UFD1;SCM4;YGR050C;FMP48	TFC4;UFD1
chr02_468216	269534309.207447	7	19.430709510342	5.54931463654067e-26	RAD16	chr02_461132	chr02_470311	chr02	461132	470311	YSA1;SUS1;CYC8;RAD16;LYS2	YSA1;SUS1;CYC8;RAD16;LYS2	YSA1;SUS1;CYC8
chr09_245776	267572746.063042	7	19.2893005603749	8.87815515545252e-26	NA	chr09_243419	chr09_253423	chr09	243419	253423	YRB2;ARC15;SNP1;YIL060W;RGI2;VHR1;YIL055C	YRB2;ARC15;SNP1;YIL060W;RGI2;VHR1;YIL055C	YRB2;ARC15;SNP1;YIL060W;RGI2;VHR1;YIL055C
chr02_561849	254630266.178261	7	18.3562780901591	1.96782813607105e-24	CSH1	chr02_548599	chr02_564706	chr02	548599	564706	RIB7;RPB5;CNS1;SLI15;ICS2;AMN1;IFA38;CDC28;CSH1;TOS1;YSY6	RIB7;RPB5;CNS1;SLI15;ICS2;AMN1;IFA38;CDC28;CSH1	CSH1
chr13_328306	221289670.701683	7	15.9527568927571	5.64706036722138e-21	TAP42	chr13_283662	chr13_342915	chr13	283662	342915	ADI1;YMR010W;HXT2;CLU1;SEC59;BUD22;ERG5;SOK2;SPO20;YMR018W;STB4;FMS1;MAC1;UBC7;MSS1;MRPL3;CSI1;PEX12;YMR027W;TAP42;FAR8;RSF1;EIS1;HOF1;YMR030W-A;ARP9;YMR034C;IMP2;MIH1	YMR027W;TAP42;FAR8;RSF1;EIS1	YMR027W;TAP42;FAR8
chr07_371116	212984530.006069	7	15.3540398805389	4.08081467392841e-20	HSF1	chr07_354053	chr07_372096	chr07	354053	372096	SCY1;YGL082W;YGL081W;FMP37;KXD1;DBP3;HNM1;RPL7A;MPS2;HSF1;AFT1	HSF1;AFT1	HSF1;AFT1
chr16_678554	182345920.182865	7	13.1453046400201	5.86368533151171e-17	NA	chr16_677302	chr16_683503	chr16	677302	683503	JID1;FCY1;YPR063C;ROX1;UBA3;ISA2;HOS1	FCY1;YPR063C;ROX1;UBA3	FCY1;YPR063C;ROX1;UBA3
chr15_32386	178641978.457088	7	12.878287739914	1.40747402198335e-16	NA	chr15_32028	chr15_35191	chr15	32028	35191	HPF1;ZPS1	HPF1	HPF1
chr03_262531	167067692.692402	7	12.0438982881792	2.15922603195645e-15	NA	chr03_261331	chr03_271927	chr03	261331	271927	TUP1;CSM1;YCR087C-A;ABP1;FIG2;YCR090C	TUP1;CSM1	TUP1;CSM1
chr11_140986	164371401.52393	7	11.8495228463146	4.07357929649335e-15	NA	chr11_121841	chr11_191665	chr11	121841	191665	TPO5;SNU114;EBP2;NNK1;MRPL38;KKQ8;MRP49;TPK3;MCD4;PIR1;PIR3;YKL162C;KDX1;ELF1;RCN1;APE2;RPS27A;RSM22;SRP102;GPM1;YKL151C;MCR1;DBR1;SDH1;AVT3;RPT1;RPC25;LTV1;MRP8;SDH3;TGL1;CTK1;HSK3;MRPL31;CMC1;APL2;1-Oct;YKL133C	TPO5;SNU114;EBP2;NNK1;MRPL38;KKQ8;MRP49;TPK3;MCD4;PIR1;PIR3;YKL162C;KDX1;ELF1;RCN1;APE2;RPS27A;RSM22;SRP102;GPM1;YKL151C;MCR1;DBR1;SDH1;AVT3;RPT1;RPC25;LTV1;MRP8	PIR3
chr08_190283	163124916.241508	7	11.759663809434	5.46188374401671e-15	NA	chr08_188885	chr08_221530	chr08	188885	221530	BCD1;SRB2;NCP1;DOG2;DOG1;YHR045W;INM1;AAP1;YHK8;FSH1;SMF2;YHR050W-A;COX6;CIC1;CUP1-1;YHR054C;CUP1-2;RSC30;CPR2;MED6;FYV4;VMA22;GIC1	DOG1;YHR045W;INM1;AAP1;YHK8;FSH1;SMF2;YHR050W-A;COX6;CIC1;CUP1-1;YHR054C;CUP1-2;RSC30;CPR2;MED6;FYV4	DOG1;YHR045W;INM1;AAP1;YHK8;FSH1;SMF2;YHR050W-A;COX6;CIC1;CUP1-1;YHR054C;CUP1-2;RSC30;CPR2;MED6;FYV4
chr12_643601	156822918.844151	7	11.3053532575675	2.40150496092358e-14	YLR253W	chr12_636334	chr12_658125	chr12	636334	658125	RCK2;YEF3;SSP120;SYM1;YLR253W;NDL1;HAP1;YLR257W	RCK2;YEF3;SSP120;SYM1;YLR253W;NDL1;HAP1	RCK2;YEF3;SSP120;SYM1;YLR253W;NDL1;HAP1
chr04_483837	153027902.492115	7	11.0317707940206	5.84922935540078e-14	YDR018C	chr04_470508	chr04_537994	chr04	470508	537994	SNQ2;RPL4B;PSF1;RAD61;HED1;DAD1;KCS1;YDR018C;GCV1;DAS2;FAL1;CIS1;SES1;RPS11A;YDR026C;VPS54;REG1;RAD28;MIC14;PST2;MRH1;LYS14;YDR034C-A;YDR034W-B;ARO3;EHD3;KRS1;ENA5;ENA2;ENA1	SNQ2;RPL4B;PSF1;RAD61;HED1;DAD1;KCS1;YDR018C;GCV1;DAS2;FAL1;CIS1;SES1;RPS11A;YDR026C;VPS54;REG1;RAD28;MIC14;PST2;MRH1;LYS14;YDR034C-A;YDR034W-B;ARO3;EHD3;KRS1;ENA5	KRS1
chr16_113019	150138465.38242	7	10.823471474754	1.15104878402423e-13	FAS2	chr16_109647	chr16_120748	chr16	109647	120748	FAS2;USV1;YPL229W;CET1;ALG5	FAS2;USV1;YPL229W;CET1;ALG5	FAS2;USV1;YPL229W;CET1;ALG5
chr04_1455444	150103771.570946	7	10.8209704003099	1.16043757903032e-13	LPP1	chr04_1447938	chr04_1459149	chr04	1447938	1459149	SEC20;LCD1;RPL37B;PLM2;SAM2;LPP1;SPG3;PSP1	LCD1;RPL37B;PLM2;SAM2;LPP1;SPG3;PSP1	LCD1
chr07_209792	147265710.818775	7	10.6163747990661	2.25457023984389e-13	ARI1	chr07_206963	chr07_228264	chr07	206963	228264	RCK1;ARI1;AMS1;CDC43;LYS5;PEX14;NUT1;INO80;ARO2;RPL9A;RRT6	RCK1;ARI1;AMS1;CDC43;LYS5;PEX14;NUT1	RCK1;ARI1;AMS1;CDC43;LYS5;PEX14
chr16_452335	146490293.018108	7	10.5604749840177	2.70280604365618e-13	SUR1	chr16_428691	chr16_466692	chr16	428691	466692	VPS28;CWC27;TIM50;ALD6;MFM1;GRX5;PDR12;SUR1;LCL1;LGE1;LEE1;KTR6;OAZ1;ARL3;MNN9;DIG1;CAM1;SGF11;ELC1;VPS16	VPS28;CWC27;TIM50;ALD6;MFM1;GRX5;PDR12;SUR1;LCL1;LGE1;LEE1;KTR6;OAZ1;ARL3;MNN9;DIG1;CAM1;SGF11;ELC1;VPS16	VPS28;CWC27;TIM50;ALD6;ARL3;MNN9;DIG1
chr11_340388	136622391.259605	7	9.84909863601264	2.70205076640433e-12	ASK1	chr11_321714	chr11_347544	chr11	321714	347544	YKL063C;MSN4;BLI1;FBA1;MPE1;TOA2;NUP120;TMA19;OAR1;DEF1;MDM35;ASK1;SFK1;YKL050C;CSE4;ELM1	NUP120;TMA19;OAR1;DEF1;MDM35;ASK1;SFK1;YKL050C;CSE4;ELM1	YKL050C;CSE4;ELM1
chr10_210834	133873396.853878	7	9.6509238214582	5.1218200865018e-12	GZF3	chr10_193412	chr10_231285	chr10	193412	231285	PHO86;NCA3;ASF1;MDV1;CCT7;GZF3;UTP10;PRM10;YJL107C;IME2;SET4;PAM16;GSM1;MEF2	ASF1;MDV1;CCT7;GZF3;UTP10;PRM10;YJL107C;IME2;SET4;PAM16;GSM1;MEF2	MDV1;CCT7;GZF3;UTP10;PRM10;YJL107C
chr05_505775	128200678.935844	7	9.24197798326961	1.9111841694392e-11	CHD1	chr05_499066	chr05_521755	chr05	499066	521755	SPT2;RAD4;YER163C;CHD1;PAB1;DNF1;BCK2;CCA1	SPT2;RAD4;YER163C;CHD1;PAB1;DNF1;BCK2	RAD4;YER163C;CHD1;PAB1;DNF1;BCK2
chr04_596960	126862326.923138	7	9.14549628022426	2.60596418107449e-11	NA	chr04_595890	chr04_629633	chr04	595890	629633	TPS2;PPH3;RAD55;SED1;SHU2;PET100;TFB5;VPS41;PDC2;STN1;RRP8;TVP23;AFR1;SSS1;RRP1;SLU7;YDR089W;YDR090C;RLI1;UBC13	PPH3;RAD55;SED1;SHU2;PET100;TFB5;VPS41;PDC2;STN1;RRP8;TVP23;AFR1;SSS1;RRP1;SLU7;YDR089W;YDR090C;RLI1	AFR1
chr12_727539	125969725.150677	7	9.08114868084033	3.20424623755833e-11	ECM38	chr12_712302	chr12_733346	chr12	712302	733346	YLR287C;RPS30A;MEC3;GUF1;YLR290C;GCD7;SEC72;GSP1;ATP14;YLR297W;YHC1;ECM38;EXG1;HRI1;MET17	YLR297W;YHC1;ECM38;EXG1;HRI1	ECM38;EXG1;HRI1
chr11_652398	124883089.845634	7	9.00281321765554	4.12033295505061e-11	NA	chr11_638205	0	chr11	638205	1e+07	BAS1;SKG1;SIR1;FLO10;NFT1;YKR104W;VBA5;GEX2	BAS1;SKG1;SIR1;FLO10;NFT1;YKR104W;VBA5;GEX2	SIR1;FLO10;NFT1
chr05_362457	115405777.873264	7	8.31959446003059	3.66683198043087e-10	NA	chr05_343584	chr05_375434	chr05	343584	375434	IES5;TSC11;AIM11;PUP3;RAD51;SHC1;UBP9;PRS2;UBC6;AST2;RPS8B;SSA4;RTT105;NUP157;MAM1;GLE2;FLO8	PRS2;UBC6;AST2;RPS8B;SSA4;RTT105;NUP157;MAM1;GLE2;FLO8	PRS2;UBC6;AST2;RPS8B;SSA4;RTT105;NUP157;MAM1;GLE2;FLO8
