	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr06_233022	5832743123.38741	7	480.53795677979	0	YFR039C	chr06_232843	chr06_233284	chr06	232843	233284	YFR039C;SAP155	YFR039C;SAP155	YFR039C;SAP155
chr09_394421	3197079187.185	7	263.395432950396	0	YIR020C	chr09_389872	chr09_395302	chr09	389872	395302	MUC1;YIR020C	MUC1	MUC1
chr15_410693	2482016581.64149	7	204.484091207996	7.89576865658298e-283	NA	chr15_410473	chr15_411579	chr15	410473	411579	WHI2	WHI2	WHI2
chr13_577132	723313074.366573	7	59.591067104351	4.77013129579197e-84	YMR160W	chr13_575498	chr13_587474	chr13	575498	587474	ATG16;YMR160W;HLJ1;DNF3;INP2;MSS11	ATG16;YMR160W;HLJ1	YMR160W
chr07_857343	679476782.050104	7	55.9795584373409	7.38980690390776e-79	NA	chr07_855260	chr07_858474	chr07	855260	858474	OKP1;RNR4;TIM13	OKP1;RNR4	OKP1;RNR4
chr12_509686	478922406.64765	7	39.4566312758971	5.32407774596739e-55	RFX1	chr12_508336	chr12_510180	chr12	508336	510180	RFX1;YLR177W	RFX1	RFX1
chr07_610360	418327340.382132	7	34.4644297134087	9.16204196764926e-48	NA	chr07_610003	chr07_610908	chr07	610003	610908	ERG25	ERG25	ERG25
chr02_466502	350914488.126108	7	28.9105361853505	1.0414338214118e-39	NA	chr02_462435	chr02_474545	chr02	462435	474545	YSA1;SUS1;CYC8;RAD16;LYS2;TKL2	YSA1;SUS1;CYC8;RAD16;LYS2;TKL2	YSA1;SUS1;CYC8
chr07_700099	330948594.515039	7	27.2656206596392	2.5303965742844e-37	NA	chr07_696406	chr07_701706	chr07	696406	701706	NOP7;SRB5;VMA21;VOA1	NOP7;SRB5;VMA21;VOA1	NOP7;SRB5;VMA21;VOA1
chr05_344445	297120776.957258	7	24.4786729083562	2.77238069767739e-33	TSC11	chr05_338030	chr05_348089	chr05	338030	348089	PTC2;TRP2;MET6;IES5;TSC11;AIM11	PTC2;TRP2;MET6;IES5;TSC11;AIM11	PTC2
chr09_126563	248803571.790878	6	23.9143316301025	3.13392188526854e-28	AYR1	chr09_104312	chr09_129425	chr09	104312	129425	ASG1;TAO3;MET18;RRT14;STH1;KGD1;AYR1;SIM1	ASG1;TAO3;MET18;RRT14;STH1;KGD1;AYR1;SIM1	SIM1
chr11_299878	233588221.111885	7	19.2444625327066	1.03112313835631e-25	STB6	chr11_286771	chr11_310366	chr11	286771	310366	SMY1;DHR2;YKL077W;YKL075C;MUD2;LHS1;STB6;YKL071W;YKL070W;YKL069W;YKL068W-A;NUP100	SMY1;DHR2;YKL077W;YKL075C;MUD2;LHS1;STB6;YKL071W;YKL070W;YKL069W;YKL068W-A;NUP100	SMY1;DHR2;YKL077W;YKL075C;MUD2;LHS1;STB6;YKL071W;YKL070W;YKL069W;YKL068W-A;NUP100
chr16_782683	215872081.244249	7	17.7848958290259	1.3106234109518e-23	AXL1	chr16_776133	chr16_784177	chr16	776133	784177	CLB5;THI22;AXL1	CLB5;THI22;AXL1	CLB5;THI22;AXL1
chr10_392001	202265835.02153	7	16.6639279377619	5.37535841158587e-22	YJL027C	chr10_390044	chr10_392577	chr10	390044	392577	VPS53;YJL028W;YJL027C;RNR2	VPS53;YJL028W;YJL027C;RNR2	VPS53;YJL028W;YJL027C;RNR2
