	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr09_390340	1420222933.62967	7	96.0765801024414	6.61015095041266e-136	MUC1	chr09_389872	chr09_393711	chr09	389872	393711	MUC1	MUC1	MUC1
chr15_411421	677616345.100765	7	45.840029418771	3.03300013856911e-64	WHI2	chr15_411025	chr15_413357	chr15	411025	413357	WHI2;IRC23;TOM6	WHI2;IRC23;TOM6	WHI2
chr07_483020	502956074.396744	7	34.0244467439282	3.94241764102715e-47	YGL007C-A	chr07_477872	chr07_483277	chr07	477872	483277	LEU1;PMA1;YGL007C-A	LEU1;PMA1;YGL007C-A	PMA1;YGL007C-A
chr02_566226	447567577.208706	7	30.2774734618956	1.07523258493947e-41	EXO5	chr02_565780	chr02_568121	chr02	565780	568121	YSY6;EXO5;ARL1;UBS1	YSY6;EXO5;ARL1;UBS1	YSY6;EXO5
chr04_527032	348530333.707577	7	23.5777086340997	5.56968788386344e-32	KRS1	chr04_526888	chr04_542584	chr04	526888	542584	KRS1;ENA5;ENA2;ENA1;RSM10;YDR042C;NRG1	KRS1;ENA5;ENA2;ENA1;RSM10;YDR042C;NRG1	KRS1
chr16_341066	341118470.215858	7	23.0763039041743	2.96431197422532e-31	NA	chr16_329497	chr16_346610	chr16	329497	346610	IDI1;HOS3;BEM3;YPL113C;PEX25;CAR1;GDE1;YPL109C	IDI1;HOS3;BEM3	IDI1;HOS3;BEM3
chr07_310076	267922269.803444	7	18.1246583240365	4.23494258798237e-24	VPS73	chr07_308947	chr07_311122	chr07	308947	311122	ARC1;VPS73;RPL28	VPS73;RPL28	VPS73;RPL28
chr15_30261	258930443.717072	7	17.5163707948056	3.18427830881196e-23	HPF1	chr15_27721	chr15_31834	chr15	27721	31834	HPF1	HPF1	HPF1
chr09_26020	247568966.330685	7	16.7477788601538	4.0630514338372e-22	YIL169C	chr09_25312	chr09_26103	chr09	25312	26103	YIL169C	YIL169C	YIL169C
chr14_17669	227848001.979977	7	15.4136764694145	3.34634566787653e-20	NA	chr14_11930	chr14_18997	chr14	11930	18997	DDI3;SNO2;SNZ2;THI12;AAD14;RPD3	DDI3;SNO2;SNZ2;THI12;AAD14;RPD3	DDI3;SNO2;SNZ2;THI12;AAD14;RPD3
chr08_115917	207787175.432438	7	14.0565827603374	2.93304147105196e-18	NA	chr08_76307	chr08_122181	chr08	76307	122181	YLF2;OTU2;YHL012W;PRS3;ETP1;YAP3;YHL008C;STE20;SHU1;MRP4;LAG1;HSE1;RPL14B;OSH7;QCR10;LEU5;YHR003C;NEM1;GPA1;TIM10;STP2;ERG11;YHR007C-A	YLF2;OTU2;YHL012W;PRS3;ETP1;YAP3;YHL008C;STE20;SHU1;MRP4;LAG1	YLF2;OTU2;YHL012W;PRS3;ETP1;YAP3
chr08_268032	202220869.02293	7	13.6800280160333	1.01181466491481e-17	LRP1	chr08_262922	chr08_329853	chr08	262922	329853	SAE3;YHR080C;LRP1;KSP1;SAM35;STE12;IPI1;NAM8;YHR086W-A;RTC3;RPF1;GAR1;YNG2;MSR1;HXT4;HXT1;HXT5;YHR097C;SFB3;TRA1;GEP4;BIG1;KIC1;SBE22;GRE3;YPT35;TRR2;CDC12;GGA2;CTM1	YHR080C;LRP1;KSP1;SAM35;STE12;IPI1;NAM8;YHR086W-A;RTC3;RPF1;GAR1;YNG2;MSR1;HXT4;HXT1;HXT5;YHR097C;SFB3;TRA1;GEP4;BIG1;KIC1	HXT5;YHR097C;SFB3
chr12_751968	171500626.264797	7	11.6018360686782	9.13173880099027e-15	NA	chr12_748920	chr12_757387	chr12	748920	757387	CDA2;IMH1;CDC25;YLR312C	CDA2;IMH1;CDC25;YLR312C	IMH1;CDC25
chr07_601056	170020910.980328	7	11.5017348939325	1.26555610555688e-14	MUP1	chr07_598072	chr07_607151	chr07	598072	607151	YGR054W;MUP1;RSC1;LST7;PEF1;SPR3	YGR054W;MUP1;RSC1;LST7;PEF1;SPR3	RSC1;LST7;PEF1;SPR3
chr09_129840	169734654.806755	7	11.4823699663997	1.34800507390403e-14	NA	chr09_100802	chr09_133924	chr09	100802	133924	CSM2;FKH1;ASG1;TAO3;MET18;RRT14;STH1;KGD1;AYR1;SIM1;POG1;QDR2;QDR1	MET18;RRT14;STH1;KGD1;AYR1;SIM1;POG1;QDR2	SIM1
chr12_409032	155147706.413132	7	10.4955783278445	3.33357184653449e-13	CKI1	chr12_387706	chr12_415772	chr12	387706	415772	YPS1;YPS3;YLR125W;YLR126C;APC2;DCN1;DIP2;ZRT2;ACE2;YLR132C;CKI1;PDC5;SLX4;TIS11	YPS1;YPS3;YLR125W;YLR126C;APC2;DCN1;DIP2;ZRT2;ACE2;YLR132C;CKI1;PDC5;SLX4;TIS11	YPS3;YLR125W;YLR126C;APC2;DCN1;DIP2;ZRT2
chr16_686590	148658473.428192	7	10.056588576364	1.38114887027781e-12	MED1	chr16_685481	chr16_692823	chr16	685481	692823	SPE3;MED1;YPR071W;NOT5;LTP1;TKL1	SPE3;MED1;YPR071W;NOT5;LTP1;TKL1	MED1;YPR071W;NOT5;LTP1;TKL1
chr10_211764	143357470.351364	7	9.69798132205606	4.39802137584436e-12	NA	chr10_194535	chr10_639737	chr10	194535	639737	NCA3;ASF1;MDV1;CCT7;GZF3;UTP10;PRM10;YJL107C;IME2;SET4;PAM16;GSM1;MEF2;GSH1;LSB6;CHS6;SAP185;PHS1;MRPL49;BCK1;KHA1;TOK1;SRS2;GWT1;DPB11;SIP4;ARG3;TRL1;EXO70;ALY2;TAX4;IML2;ARP4;SCP160;PRY1;PRY3;YJL077W-B;ICS3;YJL077W-A;NET1;SMC3;JEM1;PSF2;ARG2;YJL070C;UTP18;YJL068C;MPM1;DLS1;MRPL8;COA3;LAS21;NUP82;BNA3;YHC3;BIT61;IKS1;ZAP1;YJL055W;TIM54;PEP8;YJL052C-A;TDH1;IRC8;MTR4;YJL049W;UBX6;YJL047C-A;RTT101;AIM22;YJL045W;GYP6;YJL043W;MHP1;NSP1;NUP192;LOH1;IRC18;SNX4;TAD2;KAR2;HCA4;BET4;MAD2;VPS53;YJL028W;YJL027C;RNR2;RRN7;APS3;PET130;BBC1;MPS3;YJL016W;CCT3;MAD3;VTC4;RPC17;NOP9;CCT8;CTK2;CYR1;SYS1;COX16;OST1;PRE3;AVT1;MPP10;YJR003C;SAG1;APL1;YJR005C-A;POL31;SUI2;YJR008W;TDH2;MET3;SPC1;YJR011C;YJR012C;GPI14;TMA22;YJR015W;ILV3;ESS1;TES1;REC107;LSM8;MDE1;BNA1;YJR030C;GEA1;CPR7;RAV1;PET191;RAD26;HUL4;YJR039W;GEF1;URB2;NUP85;POL32;VPS55;SSC1;TAH11;ANB1;CYC1;UTR1;ISY1;OSM1;RAD7;BFA1;YJR054W;HIT1;YJR056C;CDC8;APS2;PTK2;CBF1;YJR061W;NTA1;RPA12;CCT5;ARP3;TOR1;YAE1;RFC2;HAM1;LIA1;NPA3;OPI3;MOG1;HOC1;CDC11;MIR1;BNA2;YJR079W;AIM24;EAF6;ACF4;YJR084W;YJR085C;STE18;EMC2;BIR1;GRR1;JSN1;BUD4;FIP1;IME1;RPL43B;SFC1;YJR096W;JJJ3;YJR098C;YUH1;AIM25;RSM26;VPS25;URA8;SOD1;ADO1;ECM27;YJR107W;ABM1;CPA2;YMR1;YJR111C;NNF1;YJR112W-A;RSM7;YJR115W	NCA3;ASF1;MDV1;CCT7;GZF3;UTP10;PRM10;YJL107C	MDV1;CCT7;GZF3;UTP10;PRM10;YJL107C
chr11_652137	129709315.055714	7	8.77469804415412	8.55733642404608e-11	NA	chr11_569474	chr11_658381	chr11	569474	658381	GPT2;BET3;MET1;YKR070W;DRE2;SIS2;AIM29;YKR075C;ECM4;MSA2;YKR078W;TRZ1;MTD1;RPF2;NUP133;DAD2;HBS1;MRPL20;PRP16;OMA1;TVP38;TGL4;PXL1;SRL3;SRP40;PTR2;RPL40B;MLP1;PCC1;YKR096W;PCK1;UBP11;BAS1;SKG1;SIR1;FLO10;NFT1;YKR104W;VBA5	SIR1;FLO10;NFT1;YKR104W	SIR1;FLO10;NFT1
chr10_109830	129238602.322807	7	8.74285482537667	9.47604968819749e-11	NA	chr10_104053	chr10_115072	chr10	104053	115072	SET2;ERG20;QCR8;HAL5;TPK1;YJL163C;JJJ2	HAL5;TPK1;YJL163C;JJJ2	HAL5;TPK1;YJL163C;JJJ2
chr04_1388594	127932853.729477	7	8.65452231338143	1.25724204392827e-10	NA	chr04_1319259	chr04_1409049	chr04	1319259	1409049	CAD1;DYN2;SNX41;RPN9;BNA7;TIF35;CYM1;NPL3;GPI17;PPM1;PPZ2;GPI19;THI74;LRS4;DOT1;APT2;SSN2;YDR444W;ECM11;RPS17B;ADA2;UTP6;RPS18A;YHP1;PPN1;TSA2;GUK1;NHX1;TOM1;HEH2;PFA5;TFB3;MFA1;YDR461C-A;MRPL28;STP1;SPP41;RMT2;PKH3;TLG1;SDC1;UGO1;RPL27B;TRS31;PRP3;JIP4	GPI19;THI74;LRS4;DOT1;APT2;SSN2;YDR444W;ECM11;RPS17B;ADA2;UTP6;RPS18A;YHP1	DOT1;APT2;SSN2;YDR444W
