	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr08_264207	621824473.347727	7	146.017868349879	7.64745252539427e-205	YHR080C	chr08_263476	chr08_265246	chr08	263476	265246	SAE3;YHR080C	SAE3;YHR080C	YHR080C
chr09_389745	439366305.344498	7	103.172734559274	8.48592934361807e-146	MUC1	chr09_389444	chr09_389941	chr09	389444	389941	MUC1	MUC1	MUC1
chr15_589489	345321652.969372	7	81.0890111644856	1.0329454416058e-114	NA	chr15_589091	chr15_590005	chr15	589091	590005	SFL1;ARP8	SFL1;ARP8	SFL1
chr15_405449	240336279.155738	7	56.4361691660821	1.65054670581803e-79	NA	chr15_404435	chr15_409416	chr15	404435	409416	HIR2;CKB2;GLO4;CUE5	HIR2;CKB2;GLO4;CUE5	HIR2;CKB2;GLO4;CUE5
chr16_731722	233519298.017295	7	54.8353941932705	3.31404222073678e-77	RPL11A	chr16_726715	chr16_733137	chr16	726715	733137	YPR097W;YPR098C;MRPL51;SNT309;RPL11A;PRE2;FHL1	YPR097W;YPR098C;MRPL51;SNT309;RPL11A;PRE2	YPR097W;YPR098C;MRPL51;SNT309;RPL11A;PRE2
chr04_501652	183262828.556234	7	43.0340855345951	3.55249452072171e-60	NA	chr04_471192	chr04_543388	chr04	471192	543388	RPL4B;PSF1;RAD61;HED1;DAD1;KCS1;YDR018C;GCV1;DAS2;FAL1;CIS1;SES1;RPS11A;YDR026C;VPS54;REG1;RAD28;MIC14;PST2;MRH1;LYS14;YDR034C-A;YDR034W-B;ARO3;EHD3;KRS1;ENA5;ENA2;ENA1;RSM10;YDR042C;NRG1	RPL4B;PSF1;RAD61;HED1;DAD1;KCS1;YDR018C;GCV1;DAS2;FAL1;CIS1;SES1;RPS11A;YDR026C;VPS54;REG1;RAD28;MIC14;PST2;MRH1	MRH1
chr15_32487	172535014.048822	7	40.5149620945158	1.57199871487696e-56	NA	chr15_32057	chr15_33308	chr15	32057	33308	HPF1	HPF1	HPF1
chr10_381320	155011881.228395	7	36.400150582715	1.43810490423944e-50	NA	chr10_380822	chr10_383243	chr10	380822	383243	TAD2;KAR2;HCA4	TAD2;KAR2	TAD2;KAR2
chr02_797827	120904071.878268	7	28.3908974431969	5.92598084191639e-39	PHO89	chr02_796445	chr02_797983	chr02	796445	797983	PCA1;PHO89	PHO89	PHO89
chr09_97383	105017977.196072	7	24.660497979486	1.51534632363199e-33	NA	chr09_96636	chr09_103097	chr09	96636	103097	VHS2;YIL134C-A;FLX1;RPL16A;CSM2;FKH1;ASG1	VHS2;YIL134C-A;FLX1;RPL16A;CSM2;FKH1;ASG1	ASG1
chr13_586462	96053833.6444426	7	22.5555227186309	1.69286884419071e-30	NA	chr13_576127	chr13_590016	chr13	576127	590016	YMR160W;HLJ1;DNF3;INP2;MSS11;PAH1	YMR160W	YMR160W
chr15_236167	79162618.6606474	7	18.5890992157173	9.10387588024132e-25	GAL11	chr15_234982	chr15_243006	chr15	234982	243006	GAL11;GSH2;RRT8;YOL047C;PSK2	GAL11;GSH2;RRT8;YOL047C;PSK2	GAL11
chr03_50571	77499603.1094332	7	18.1985871078331	3.32733083487517e-24	NA	chr03_50084	chr03_51419	chr03	50084	51419	PDI1;YCL042W;GLK1	PDI1;YCL042W;GLK1	PDI1;YCL042W;GLK1
chr06_173602	69434565.1343927	7	16.3047413302037	1.76615306835576e-21	CMK1	chr06_161453	chr06_175033	chr06	161453	175033	FAR7;GCN20;UBP6;AIM13;YFR012W;YFR012W-A;IOC3;CMK1;GSY1	FAR7;GCN20;UBP6;AIM13;YFR012W;YFR012W-A;IOC3;CMK1;GSY1	GCN20
chr11_357590	67680211.2173624	7	15.8927809936848	6.89522917279804e-21	PHD1	chr11_344574	chr11_359368	chr11	344574	359368	YKL050C;CSE4;ELM1;YKL047W;DCW1;PRI2;YKL044W;PHD1;SPC42;VPS24	YKL050C;CSE4;ELM1;YKL047W;DCW1;PRI2;YKL044W;PHD1;SPC42;VPS24	YKL050C;CSE4;ELM1
chr16_461367	67536072.3243322	7	15.8589340564723	7.71127741904053e-21	MNN9	chr16_460613	chr16_463048	chr16	460613	463048	ARL3;MNN9;DIG1	ARL3;MNN9;DIG1	ARL3;MNN9;DIG1
chr11_121705	63410607.1242619	7	14.8901853817494	1.88775960535977e-19	TPO5	chr11_109749	chr11_126595	chr11	109749	126595	RPL17A;COY1;STE3;LST4;ZRT3;TPO5;SNU114;EBP2;NNK1	RPL17A;COY1;STE3;LST4;ZRT3;TPO5;SNU114;EBP2;NNK1	TPO5;SNU114;EBP2;NNK1
chr12_728326	58900631.8039894	7	13.831145394096	6.171120478605e-18	NA	chr12_727691	chr12_756724	chr12	727691	756724	ECM38;EXG1;HRI1;MET17;ACO1;STT4;UBC12;CDA1;YLR307C-A;CDA2;IMH1;CDC25	ECM38;EXG1;HRI1;MET17;ACO1;STT4;UBC12;CDA1;YLR307C-A;CDA2;IMH1;CDC25	IMH1;CDC25
chr04_1358096	54138768.3788662	7	12.7129566181439	2.42165403845244e-16	UTP6	chr04_1342049	chr04_1363580	chr04	1342049	1363580	DOT1;APT2;SSN2;YDR444W;ECM11;RPS17B;ADA2;UTP6;RPS18A;YHP1;PPN1	DOT1;APT2;SSN2;YDR444W	DOT1;APT2;SSN2;YDR444W
chr07_856855	53760220.0320282	7	12.6240652588588	3.23998901882437e-16	NA	chr07_853975	chr07_863549	chr07	853975	863549	PBP1;OKP1;RNR4;TIM13;QCR9;UBR1	OKP1;RNR4;TIM13;QCR9;UBR1	OKP1;RNR4
chr04_1437787	52540444.5424786	7	12.3376355275062	8.27267205445544e-16	RSM28	chr04_1435328	chr04_1449017	chr04	1435328	1449017	IZH1;MZM1;RSM28;VPS3;PUF6;ITR1;SEC20;LCD1	IZH1;MZM1;RSM28;VPS3;PUF6;ITR1;SEC20;LCD1	LCD1
chr12_283820	52444007.963007	7	12.3149901277689	8.90865783056708e-16	NA	chr12_282882	chr12_285041	chr12	282882	285041	BUD20;RPL10;FMP25	BUD20;RPL10;FMP25	BUD20;RPL10;FMP25
chr16_597949	51718049.0084095	7	12.1445192254431	1.55547179630718e-15	MCM4	chr16_585091	chr16_621037	chr16	585091	621037	YPR013C;YPR015C;TIF6;DSS4;RLF2;MCM4;ATP20;AGC1;YPR022C;EAF3;YME1;CCL1;ATH1;YPR027C	YPR013C;YPR015C;TIF6;DSS4;RLF2;MCM4;ATP20;AGC1;YPR022C;EAF3;YME1	YPR015C;TIF6;DSS4;RLF2;MCM4;ATP20;AGC1;YPR022C
chr14_232873	50646637.7711267	7	11.8929286372633	3.53818584333914e-15	POP1	chr14_228407	chr14_236487	chr14	228407	236487	ATG4;SSU72;POP1;ADE12;ALG9	ATG4;SSU72;POP1;ADE12;ALG9	ATG4;SSU72;POP1;ADE12;ALG9
chr05_7625	50053570.4550695	7	11.7536635729399	5.57420253911169e-15	NA	0	chr05_24487	chr05	0	24487	YEL077C;YEL076C-A;YEL076C;YEL075C;YEL073C;RMD6;DLD3;DSF1;HXT13	YEL077C;YEL076C-A;YEL076C;YEL075C;YEL073C;RMD6;DLD3;DSF1;HXT13	YEL077C;YEL076C-A;YEL076C;YEL075C;YEL073C;RMD6;DLD3;DSF1;HXT13
chr12_550246	48783888.1698294	7	11.4555146439113	1.47360044084284e-14	COQ9	chr12_525092	chr12_563582	chr12	525092	563582	SKG3;MDL1;ATG26;MMR1;PEX13;HCR1;UPS1;YLR194C;NMT1;PWP1;NOP56;PBA1;YKE2;COQ9;MSS51;QRI5;HMX1;ENT2;HRD3;SEC13;PNP1;CLB4;YLR211C	PWP1;NOP56;PBA1;YKE2;COQ9;MSS51;QRI5;HMX1;ENT2	PWP1;NOP56;PBA1;YKE2;COQ9;MSS51;QRI5;HMX1;ENT2
chr16_103106	48753829.0937853	7	11.4484561211342	1.50788411077189e-14	NA	chr16_95915	chr16_105285	chr16	95915	105285	IQG1;CIN2;HSP82;YAR1;SUI3;YPL236C;RVB2;VMA11;NSL1	IQG1;CIN2;HSP82;YAR1;SUI3;YPL236C;RVB2;VMA11;NSL1	RVB2;VMA11;NSL1
chr07_369349	47522839.374341	7	11.1593930454624	3.86470800940412e-14	HSF1	chr07_350068	chr07_372410	chr07	350068	372410	LCL3;GUP1;SCY1;YGL082W;YGL081W;FMP37;KXD1;DBP3;HNM1;RPL7A;MPS2;HSF1;AFT1	LCL3;GUP1;SCY1;YGL082W;YGL081W;FMP37;KXD1;DBP3;HNM1;RPL7A;MPS2;HSF1;AFT1	HSF1;AFT1
chr02_458222	47457984.5380716	7	11.1441637237645	4.06102344304825e-14	CMD1	chr02_455590	chr02_474358	chr02	455590	474358	AIM3;CMD1;ALG1;YSA1;SUS1;CYC8;RAD16;LYS2;TKL2	AIM3;CMD1;ALG1;YSA1;SUS1;CYC8	YSA1;SUS1;CYC8
