	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr02_786598	2649666565.37013	7	158.573712497081	4.98284489900053e-222	NA	chr02_786307	chr02_786815	chr02	786307	786815	VBA2	VBA2	VBA2
chr15_90244	1758415817.90473	7	105.235325834212	9.05088094686718e-149	SMF1	chr15_86897	chr15_90637	chr15	86897	90637	TRM11;HRP1;SMF1	HRP1;SMF1	HRP1;SMF1
chr02_797983	1749367936.88895	7	104.693840312352	5.17012792130961e-148	PHO89	chr02_796843	chr02_797999	chr02	796843	797999	PCA1;PHO89	PCA1;PHO89	PHO89
chr15_412003	1377639747.49045	7	82.4471471611694	1.07830638615243e-116	WHI2	chr15_411025	chr15_413357	chr15	411025	413357	WHI2;IRC23;TOM6	WHI2	WHI2
chr09_390017	727923294.370201	7	43.5637829717883	5.86186460753891e-61	MUC1	chr09_389626	chr09_396172	chr09	389626	396172	MUC1;YIR020C	MUC1;YIR020C	MUC1
chr07_552037	274844186.390537	7	16.4485084892555	1.09201197765799e-21	GSC2	chr07_532932	chr07_576519	chr07	532932	576519	THG1;YGR026W;RPS25A;MSP1;ERV1;POP6;IMO32;NAG1;GSC2;TIM21;RPL26B;YGR035C;YGR035W-A;CAX4;ACB1;ORM1;KSS1;BUD9	YGR026W;RPS25A;MSP1;ERV1;POP6;IMO32;NAG1;GSC2;TIM21;RPL26B;YGR035C;YGR035W-A;CAX4;ACB1;ORM1;KSS1	YGR026W;RPS25A;MSP1;ERV1;POP6;IMO32;NAG1;GSC2;TIM21;RPL26B;YGR035C;YGR035W-A;CAX4;ACB1;ORM1;KSS1
chr16_380690	194393713.68066	7	11.6338158420816	8.219971593069e-15	RLM1	chr16_377121	chr16_383036	chr16	377121	383036	GLR1;RPS6A;RLM1;YPL088W;YDC1	RLM1;YPL088W;YDC1	RLM1;YPL088W;YDC1
chr10_234745	170915562.305714	7	10.2287267358703	7.90806897726381e-13	GSH1	chr10_233910	chr10_237127	chr10	233910	237127	MEF2;GSH1;LSB6	GSH1	GSH1
chr02_554320	146602615.560913	7	8.77367790917832	8.5811166523182e-11	NA	chr02_499975	chr02_615087	chr02	499975	615087	AGP2;HSL7;CKS1;MEC1;YBR137W;YBR138C;YBR139W;IRA1;YBR141C;MAK5;SUP45;ADH5;MRPS9;RTC2;YSW1;ARA1;TBS1;APD1;SPP381;RIB7;RPB5;CNS1;SLI15;ICS2;AMN1;IFA38;CDC28;CSH1;TOS1;YSY6;EXO5;ARL1;UBS1;TYR1;POP7;PEX32;SSE2;NPL4;SEC66;SMY2;UMP1;SWD3;ECM31;EHT1;FZO1;DTR1;RPS6B;SMP1;YBR182C-A;YPC1;YBR184W;MBA1;PCH2;GDT1;NTC20;RPS9B;RPL21A;RIM2;MED8;AIM4;MSI1;PGI1;YBR196C-A;YBR196C-B;YBR197C	AGP2;HSL7;CKS1;MEC1;YBR137W;YBR138C;YBR139W;IRA1;YBR141C;MAK5;SUP45;ADH5;MRPS9;RTC2;YSW1;ARA1;TBS1;APD1;SPP381;RIB7;RPB5;CNS1;SLI15;ICS2;AMN1;IFA38;CDC28;CSH1;TOS1;YSY6;EXO5;ARL1;UBS1;TYR1;POP7;PEX32;SSE2;NPL4;SEC66;SMY2;UMP1;SWD3;ECM31;EHT1;FZO1;DTR1;RPS6B;SMP1;YBR182C-A;YPC1;YBR184W;MBA1;PCH2;GDT1;NTC20;RPS9B;RPL21A;RIM2;MED8;AIM4;MSI1;PGI1;YBR196C-A;YBR196C-B;YBR197C	CSH1
chr07_305680	145403840.911369	7	8.70193524196502	1.0797213587897e-10	RMD9	chr07_302669	chr07_316728	chr07	302669	316728	CUE3;YGL108C;RMD9;MLC1;ARC1;VPS73;RPL28;YGL101W;SEH1;LSG1;USE1	YGL108C;RMD9;MLC1;ARC1;VPS73;RPL28;YGL101W;SEH1;LSG1;USE1	VPS73;RPL28
chr04_837974	128687463.749378	7	7.70151578514629	2.61476809810671e-09	CCT6	chr04_836717	chr04_838230	chr04	836717	838230	CCT6;SLY1	CCT6;SLY1	CCT6;SLY1
