	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr15_411421	16894517432.5891	7	791.987537076221	0	WHI2	chr15_411025	chr15_412003	chr15	411025	412003	WHI2	WHI2	WHI2
chr09_390336	1226892248.11207	7	57.5147158666892	4.41561966483899e-81	MUC1	chr09_389872	chr09_393949	chr09	389872	393949	MUC1;YIR020C	MUC1;YIR020C	MUC1
chr02_566226	579124306.117077	7	27.1484068540424	3.71126576535254e-37	EXO5	chr02_562350	chr02_568304	chr02	562350	568304	CSH1;TOS1;YSY6;EXO5;ARL1;UBS1	CSH1;TOS1;YSY6;EXO5;ARL1;UBS1	CSH1
chr07_483024	457296558.144394	7	21.4373199023483	6.96905503620559e-29	YGL007C-A	chr07_477872	chr07_514680	chr07	477872	514680	LEU1;PMA1;YGL007C-A;YGL006W-A;PMC1;COG7;RPN14;CDH1;ERP6;ERG26;YGR001C;SWC4;CUL3;PEX31;TFG2;PRP18;ECT1;STF2;SEC9;NMA2;YGR012W;SNU71	PMA1;YGL007C-A;YGL006W-A;PMC1;COG7;RPN14;CDH1;ERP6;ERG26;YGR001C;SWC4;CUL3;PEX31;TFG2;PRP18;ECT1;STF2;SEC9;NMA2	PMA1;YGL007C-A
chr07_372410	455216144.659424	7	21.3397934971913	9.64321194960485e-29	AFT1	chr07_359664	chr07_380991	chr07	359664	380991	KXD1;DBP3;HNM1;RPL7A;MPS2;HSF1;AFT1;RPB9;MNP1;NPY1;SGF73;ALG2	HSF1;AFT1;RPB9;MNP1;NPY1;SGF73;ALG2	HSF1;AFT1
chr06_34518	442090710.62706	7	20.7244944681527	7.47876771324732e-28	ALR2	chr06_17618	chr06_42562	chr06	17618	42562	AGP3;YFL054C;DAK2;YFL052W;YFL051C;ALR2;SWP82;EMP47;RGD2;FMP32	YFL051C	YFL051C
chr15_29882	287507221.701565	7	13.4778715826365	1.96490963787635e-17	HPF1	chr15_27813	chr15_31834	chr15	27813	31834	HPF1	HPF1	HPF1
chr04_483905	239423398.773602	7	11.2237800617702	3.12840307394442e-14	NA	chr04_443403	chr04_538854	chr04	443403	538854	ATP16;MCD1;NHP10;RMD1;NTH1;YRB1;RCR2;YDR003W-A;RAD57;MAF1;SOK1;TRP1;GAL3;SNQ2;RPL4B;PSF1;RAD61;HED1;DAD1;KCS1;YDR018C;GCV1;DAS2;FAL1;CIS1;SES1;RPS11A;YDR026C;VPS54;REG1;RAD28;MIC14;PST2;MRH1;LYS14;YDR034C-A;YDR034W-B;ARO3;EHD3;KRS1;ENA5;ENA2;ENA1;RSM10	ATP16;MCD1;NHP10;RMD1;NTH1;YRB1;RCR2;YDR003W-A;RAD57;MAF1;SOK1;TRP1;GAL3;SNQ2;RPL4B;PSF1;RAD61;HED1;DAD1;KCS1;YDR018C;GCV1	KCS1;YDR018C;GCV1
chr04_1343113	226143415.046677	7	10.601235994071	2.36569017367042e-13	DOT1	chr04_1334740	chr04_1361014	chr04	1334740	1361014	PPM1;PPZ2;GPI19;THI74;LRS4;DOT1;APT2;SSN2;YDR444W;ECM11;RPS17B;ADA2;UTP6;RPS18A;YHP1	DOT1;APT2;SSN2;YDR444W;ECM11;RPS17B;ADA2;UTP6;RPS18A;YHP1	DOT1;APT2;SSN2;YDR444W
chr14_140559	200634218.956654	7	9.40540631354039	1.12883439079562e-11	NA	chr14_120365	chr14_197400	chr14	120365	197400	BOR1;GOR1;TOF1;SEC2;BNI1;ALP1;BSC4;LYP1;PIK1;IST1;PDR17;YIF1;POL2;ORC5;YNL260C;ATX1;DSL1;SIP3;FOL1;GIS2;RTC4;TEX1;MRPL17;NRD1;RAD50;MPA43;RPA49;YNL247W;VPS75;CWC25;SUI1;SLA2;ATG2;ZWF1	ALP1;BSC4;LYP1;PIK1;IST1;PDR17;YIF1;POL2;ORC5;YNL260C;ATX1;DSL1;SIP3;FOL1;GIS2;RTC4;TEX1;MRPL17;NRD1;RAD50;MPA43;RPA49;YNL247W;VPS75;CWC25;SUI1;SLA2;ATG2;ZWF1	SLA2;ATG2;ZWF1
chr13_570775	196739750.24675	7	9.22283994583655	2.0309507581694e-11	TPP1	chr13_565910	chr13_592900	chr13	565910	592900	NUP53;RIM13;YMR155W;TPP1;AIM36;MRPS8;YMR158C-A;ATG16;YMR160W;HLJ1;DNF3;INP2;MSS11;PAH1;YMR166C	TPP1;AIM36;MRPS8;YMR158C-A;ATG16;YMR160W;HLJ1;DNF3;INP2;MSS11;PAH1	YMR160W
chr13_147374	185580476.156738	7	8.69971130144813	1.08774791342159e-10	NA	chr13_114587	chr13_153984	chr13	114587	153984	WAR1;HMG1;FPR3;RPL6A;TCB3;COG8;DAK1;POB3;ITT1;ERV41;SMA2;ORC1;TEM1;RPS1B;MFT1;PIF1;OGG1;NTE1	WAR1;HMG1;FPR3;RPL6A;TCB3;COG8;DAK1;POB3;ITT1;ERV41;SMA2;ORC1;TEM1;RPS1B;MFT1;PIF1;OGG1;NTE1	ORC1;TEM1;RPS1B;MFT1;PIF1;OGG1;NTE1
chr12_727229	183197770.641254	7	8.58801393688501	1.55498533719456e-10	ECM38	chr12_710950	chr12_757387	chr12	710950	757387	CTS1;YLR287C;RPS30A;MEC3;GUF1;YLR290C;GCD7;SEC72;GSP1;ATP14;YLR297W;YHC1;ECM38;EXG1;HRI1;MET17;ACO1;STT4;UBC12;CDA1;YLR307C-A;CDA2;IMH1;CDC25;YLR312C	CTS1;YLR287C;RPS30A;MEC3;GUF1;YLR290C;GCD7;SEC72;GSP1;ATP14;YLR297W;YHC1;ECM38;EXG1;HRI1;MET17;ACO1;STT4;UBC12;CDA1;YLR307C-A;CDA2;IMH1;CDC25	IMH1;CDC25
chr16_681522	183142295.846085	7	8.5854133685899	1.56797021601142e-10	UBA3	chr16_676552	chr16_694755	chr16	676552	694755	ARO7;JID1;FCY1;YPR063C;ROX1;UBA3;ISA2;HOS1;SPE3;MED1;YPR071W;NOT5;LTP1;TKL1	ARO7;JID1;FCY1;YPR063C;ROX1;UBA3;ISA2;HOS1;SPE3;MED1;YPR071W;NOT5;LTP1;TKL1	MED1;YPR071W;NOT5;LTP1;TKL1
chr10_224603	179527238.200428	7	8.41594533775705	2.69462738238204e-10	NA	chr10_190461	chr10_237452	chr10	190461	237452	ALB1;RPE1;YJL118W;PHO86;NCA3;ASF1;MDV1;CCT7;GZF3;UTP10;PRM10;YJL107C;IME2;SET4;PAM16;GSM1;MEF2;GSH1;LSB6	MDV1;CCT7;GZF3;UTP10;PRM10;YJL107C;IME2;SET4;PAM16;GSM1;MEF2;GSH1	MDV1;CCT7;GZF3;UTP10;PRM10;YJL107C
chr12_570985	179475702.866371	7	8.41352944500042	2.71549136339302e-10	CDC123	chr12_561785	chr12_572417	chr12	561785	572417	PNP1;CLB4;YLR211C;TUB4;CRR1;FRE1;CDC123;CPR6	PNP1;CLB4;YLR211C;TUB4;CRR1;FRE1;CDC123;CPR6	PNP1
chr16_492354	174427169.826862	7	8.17686241596201	5.77584588369733e-10	PHO85	chr16_490070	chr16_505008	chr16	490070	505008	SVL3;PHO85;TRM44;SUV3;ERG10;SMA1;SKS1;RMI1;MET12	SVL3;PHO85;TRM44;SUV3;ERG10;SMA1;SKS1;RMI1	SVL3;PHO85;TRM44
chr04_597404	171935452.634342	7	8.06005476103676	8.3772450711621e-10	PPH3	chr04_596262	chr04_614729	chr04	596262	614729	TPS2;PPH3;RAD55;SED1;SHU2;PET100;TFB5;VPS41;PDC2;STN1;RRP8;TVP23;AFR1	PPH3;RAD55;SED1;SHU2;PET100;TFB5;VPS41;PDC2;STN1;RRP8;TVP23;AFR1	AFR1
chr11_579769	171051365.500862	7	8.01861019215816	9.55765232355096e-10	NA	chr11_569033	chr11_652707	chr11	569033	652707	GPT2;BET3;MET1;YKR070W;DRE2;SIS2;AIM29;YKR075C;ECM4;MSA2;YKR078W;TRZ1;MTD1;RPF2;NUP133;DAD2;HBS1;MRPL20;PRP16;OMA1;TVP38;TGL4;PXL1;SRL3;SRP40;PTR2;RPL40B;MLP1;PCC1;YKR096W;PCK1;UBP11;BAS1;SKG1;SIR1;FLO10;NFT1	SIR1;FLO10;NFT1	SIR1;FLO10;NFT1
chr07_140286	159617384.238003	7	7.48260372168747	5.22907937852454e-09	NA	chr07_118901	chr07_145998	chr07	118901	145998	MCM6;EMP24;YIP4;MDS3;DSD1;GCN1;YGL194C-A;HOS2;YGL193C;IME4;COX13;CDC55	GCN1;YGL194C-A;HOS2;YGL193C;IME4;COX13;CDC55	GCN1;YGL194C-A;HOS2;YGL193C;IME4
chr12_283136	159498070.754345	7	7.47701049936317	5.32234297996164e-09	RPL10	chr12_280892	chr12_286729	chr12	280892	286729	YLR072W;RFU1;BUD20;RPL10;FMP25;BOS1;SIC1	YLR072W;RFU1;BUD20;RPL10;FMP25;BOS1;SIC1	BUD20;RPL10;FMP25
chr05_334175	157226496.703575	7	7.37052279736553	7.45030309684185e-09	DOT6	chr05_161422	chr05_462384	chr05	161422	462384	YND1;NUG1;PAC2;TMA20;SEC3;NTF2;YER010C;TIR1;PRE1;PRP22;HEM14;BUD25;FAA2;BIM1;AFG3;SPC25;ISC1;SBH2;GPA2;RPN3;SRB4;PRO3;YAT2;GCD11;CHO1;GAL83;MIG3;SMB1;CHZ1;YPT31;FIR1;ZRG8;YER034W;EDC2;ARB1;PHM8;KRE29;YER038W-A;HVG1;YER039C-A;GLN3;YEN1;MXR1;SAH1;ERG28;MEI4;ACA1;SPO73;SAP1;CAJ1;ISD11;TPA1;RSM18;JHD1;HOM3;PIC2;YER053C-A;GIP2;HIS1;FCY2;RPL34A;HMF1;PET117;PCL6;FCY21;FCY22;CEM1;HOR2;THO1;YER064C;ICL1;RRT13;RGI1;MOT2;ARG5%2C6;RNR1;TDA2;VTC1;ALD5;RPS24A;YOS1;PTP3;YER076C;YER077C;ICP55;YER078W-A;YER079W;AIM9;SER3;UTP7;GET2;YER084W;YER085C;ILV1;AIM10;SBH1;DOT6;PTC2;TRP2;MET6;IES5;TSC11;AIM11;PUP3;RAD51;SHC1;UBP9;PRS2;UBC6;AST2;RPS8B;SSA4;RTT105;NUP157;MAM1;GLE2;FLO8;KAP123;SWI4;LSM4;TMN3;BOI2;SPR6;SLX8;RPL23B;SHO1;AVT6;SCS2;YER121W;GLO3;YCK3;DSE1;RSP5;NSA2;LCP5;YER128W;SAK1;YER130C;RPS26B;PMD1;GLC7;YER134C;GDI1;YER137C;YER138W-A;RTR1;YER140W;COX15;MAG1;DDI1;UBP5;FTR1;LSM5	YND1;NUG1;PAC2;TMA20;SEC3;NTF2;YER010C;TIR1;PRE1;PRP22;HEM14;BUD25;FAA2;PTC2;TRP2;MET6;IES5;TSC11;AIM11;PUP3;RAD51	PTC2
